Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Vinga A;71380;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1880-01-01 00:00:00;1997-12-01 23:59:59;19.0;57.6322;11.6061
2007-06-01 00:00:00;2023-08-22 11:20:26;18.205;57.6322;11.6048

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2023-04-13 06:00:01;2023-04-14 06:00:00;2023-04-13;1.8;G;;Data från senaste fyra månaderna
2023-04-14 06:00:01;2023-04-15 06:00:00;2023-04-14;1.1;G;;Tidsperiod (fr.o.m.) = 2023-04-14 00:00:01 (UTC)
2023-04-15 06:00:01;2023-04-16 06:00:00;2023-04-15;0.0;G;;Tidsperiod (t.o.m.) = 2023-08-22 11:00:00 (UTC)
2023-04-16 06:00:01;2023-04-17 06:00:00;2023-04-16;0.1;G;;Värdet är summerat över = 24 timmar
2023-04-17 06:00:01;2023-04-18 06:00:00;2023-04-17;0.0;G;;Kvalitetskoderna:
2023-04-18 06:00:01;2023-04-19 06:00:00;2023-04-18;0.0;G;;Grön (G) = Kontrollerade och godkända värden.
2023-04-19 06:00:01;2023-04-20 06:00:00;2023-04-19;0.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2023-04-20 06:00:01;2023-04-21 06:00:00;2023-04-20;0.0;G;;Nätinformation:
2023-04-21 06:00:01;2023-04-22 06:00:00;2023-04-21;0.0;G;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2023-04-22 06:00:01;2023-04-23 06:00:00;2023-04-22;2.0;G;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2023-04-23 06:00:01;2023-04-24 06:00:00;2023-04-23;1.5;G;;Möjliga orsaker till saknade data:
2023-04-24 06:00:01;2023-04-25 06:00:00;2023-04-24;3.4;G;;- stationen eller givaren har varit ur funktion.
2023-04-25 06:00:01;2023-04-26 06:00:00;2023-04-25;1.6;G;;- stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2023-04-26 06:00:01;2023-04-27 06:00:00;2023-04-26;0.0;G
2023-04-27 06:00:01;2023-04-28 06:00:00;2023-04-27;0.0;G
2023-04-28 06:00:01;2023-04-29 06:00:00;2023-04-28;0.0;G
2023-04-29 06:00:01;2023-04-30 06:00:00;2023-04-29;0.0;G
2023-04-30 06:00:01;2023-05-01 06:00:00;2023-04-30;2.8;G
2023-05-01 06:00:01;2023-05-02 06:00:00;2023-05-01;3.8;G
2023-05-02 06:00:01;2023-05-03 06:00:00;2023-05-02;0.0;G
2023-05-03 06:00:01;2023-05-04 06:00:00;2023-05-03;0.0;G
2023-05-04 06:00:01;2023-05-05 06:00:00;2023-05-04;0.0;G
2023-05-05 06:00:01;2023-05-06 06:00:00;2023-05-05;0.0;G
2023-05-06 06:00:01;2023-05-07 06:00:00;2023-05-06;0.0;G
2023-05-07 06:00:01;2023-05-08 06:00:00;2023-05-07;0.0;G
2023-05-08 06:00:01;2023-05-09 06:00:00;2023-05-08;0.0;G
2023-05-09 06:00:01;2023-05-10 06:00:00;2023-05-09;0.0;G
